arabic_text,english_text
فهمي,Fahmi
ادم,Adam
يحيى,Yahya
المسماري,Al-Mismari
حاتم,Hatem
حسن,Hassan
محمد,Mohammed
البلالي,Al-Balali
سعد,Saad
علي,Ali
الزوي,Al-Zwai
عبدالحكيم,Abdelhakim
رمضان,Ramadan
سليمان,Suleiman
ونيس,Wanees
وداد,Widad
ديدح,Didah
بوحليقة,Bohleiga
روبين,Robin
ربيع,Rabie
جمعه,Jomaa
بوشعاله,Boshaala
احميد,Ahmeid
احسين,Ahsein
نصر,Nasr
مصباح,Misbah
صالحة,Saleha
أحمد,Ahmed
عمر,Omar
شيبه,Shaibah
خديجه,Khadija
يوسف,Youssef
عبدربه,Abdrabbo
عبدالخالق,Abdelkhaleq
فجرية,Fajriya
الشريف,Al-Sharif
الشيبانى,Al-Shaibani
عبدالله,Abdullah
عامر,Amer
عبدالعالي,Abdelali
عاشور,Ashour
الفيتوري,Al-Fitouri
غادة,Ghada
على,Ali
باله,Balah
احمد,Ahmed
عبدالحميد,Abdelhamid
نجم,Najm
عبدالقادر,Abdelqader
العبد,Al-Abd
خالد,Khaled
مسعود,Masoud
سالم,Salem
الكواش,Al-Kawash
فهيمة,Fahima
سعيد,Saeed
عياد,Ayad
عمران,Omran
اليدري,Al-Yadri
مبسوطه,Mabsoota
رافع,Rafea
عوض,Awad
عبدالواحد,Abdelwahid
ابوبكر,Abubakr
المهدى,Al-Mahdi
ابراهيم,Ibrahim
العريبى,Al-Aribi
بسمه,Basma
محمود,Mahmoud
عقيله,Aqila
نورا,Noura
ذاوود,Dawood
اقوية,Aqawiya
حنان,Hanan
اسماعيل,Ismail
وفاء,Wafaa
عبدالسلام,Abdelsalam
مفتاح,Meftah
حسين,Hussein
امنه,Amena
فرج,Faraj
بوخزام,Bokhzam
عفاف,Afaf
عبدالكريم,Abdelkarim
التهامى,Al-Tuhami
هبه,Heba
خليفه,Khalifa
عبيده,Obeida
مصطفى,Mostafa
الحدادي,Al-Haddadi
بشير,Bashir
سليمة,Salima
بالعيد,Balaid
امحمد,Emhamed
كمبل,Kambal
المبروك,Al-Mabrouk
حماد,Hammad
جمعة,Jomaa
الصبيحي,Al-Subaihi
فوزيه,Fawziya
اسحيم,Ashaim
ابتهال,Ibtihal
منصور,Mansour
فرجاني,Farjani
اميرة,Amira
داوود,Dawood
الفزاني,Al-Fazzani
بهاءالدين,Bahaeddin
مملوك,Mamlouk
فتح,Fath
الله,Allah
امنيسي,Amenisi
هنيه,Haniya
صالح,Saleh
جميله,Jamila
سعده,Saada
حامد,Hamed
عبدالهادي,Abdelhadi
لزرق,Lazraq
فتحيه,Fathiya
عبدالفتاح,Abdelfattah
عبيد,Obeid
الفاخري,Al-Fakhri
ادريس,Idris
حمد,Hamed
اقطيط,Aqtit
فتحى,Fathi
الشمالي,Al-Shamali
مسعوده,Masouda
الكاديكي,Al-Kadiki
ام,Umm
السعد,Al-Saad
عطيه,Atiya
هدى,Huda
يونس,Younes
عبدالصادق,Abdelsadeq
غيث,Ghaith
مرزوق,Marzouk
عبدالرؤف,Abdelraouf
فيتور,Fitur
فضل,Fadl
ناجى,Naji
العماري,Al-Omari
